States,Corona Affected Count,Cured Count,Total Population
Andhra Pradesh,3,0,49577103
Chhattisgarh,1,0,25545198
Delhi,27,5,16787941
Gujarat,14,0,60439692
Haryana,17,0,25351462
Himachal Pradesh,2,0,6864602
Karnataka,20,2,61095297
Kerala,52,3,33406061
Madhya Pradesh,4,0,72626809
Maharashtra,63,0,112374333
Odisha,2,0,41974218
Puducherry,1,0,1247953
Punjab,13,0,27743338
Rajasthan,24,3,68548437
Tamil Nadu,6,1,72147030
Telengana,21,1,35003674
Chandigarh,5,0,1055450
Jammu and Kashmir,4,0,12267032
Ladakh,13,0,274000
Uttar Pradesh,25,9,199812341
Uttarakhand,3,0,10086292
West Bengal,4,0,91276115
Lakshadweep,0,0,64473
Assam,0,0,31205576
Nagaland,0,0,1978502
Arunachal Pradesh,0,0,1383727
Tripura,0,0,3673917
Meghalaya,0,0,2966889
Dadra and Nagar Haveli and Daman and Diu,0,0,585764
Goa,0,0,1458545
Sikkim,0,0,610577
Manipur,0,0,2570390
Bihar,0,0,104099452
Mizoram,0,0,1097206
Jharkhand,0,0,32988134
Andaman and Nicobar Islands,0,0,380581
